Latitude,Longitude,daerah,year,projected_population
3.1688603457411144,102.55844809890058,"Bera, Pahang",2025,103696.82537755564
3.1688603457411144,102.55844809890058,"Bera, Pahang",2026,105097.11453853804
3.1688603457411144,102.55844809890058,"Bera, Pahang",2027,105553.48353963916
3.1688603457411144,102.55844809890058,"Bera, Pahang",2028,106146.1496033679
3.1688603457411144,102.55844809890058,"Bera, Pahang",2029,106812.02906810376
3.1688603457411144,102.55844809890058,"Bera, Pahang",2030,107189.42357609275
3.1688603457411144,102.55844809890058,"Bera, Pahang",2031,108194.7360289118
3.1688603457411144,102.55844809890058,"Bera, Pahang",2032,108701.00692014808
3.1688603457411144,102.55844809890058,"Bera, Pahang",2033,109512.65682628693
3.1688603457411144,102.55844809890058,"Bera, Pahang",2034,110402.890390365
3.1688603457411144,102.55844809890058,"Bera, Pahang",2035,110986.15189933249
3.1688603457411144,102.55844809890058,"Bera, Pahang",2036,111961.845460506
3.1688603457411144,102.55844809890058,"Bera, Pahang",2037,112671.2663406194
3.1688603457411144,102.55844809890058,"Bera, Pahang",2038,113436.48877564844
3.1688603457411144,102.55844809890058,"Bera, Pahang",2039,114353.37239714136
3.1688603457411144,102.55844809890058,"Bera, Pahang",2040,115019.9311283536
3.1688603457411144,102.55844809890058,"Bera, Pahang",2041,115909.59704510214
3.1688603457411144,102.55844809890058,"Bera, Pahang",2042,116700.61077791812
3.1688603457411144,102.55844809890058,"Bera, Pahang",2043,117444.3283725061
3.1688603457411144,102.55844809890058,"Bera, Pahang",2044,118335.75742430228
3.1688603457411144,102.55844809890058,"Bera, Pahang",2045,119062.99308787152
3.1688603457411144,102.55844809890058,"Bera, Pahang",2046,119894.83833137222
3.1688603457411144,102.55844809890058,"Bera, Pahang",2047,120718.43553323606
3.1688603457411144,102.55844809890058,"Bera, Pahang",2048,121466.9395624322
3.1688603457411144,102.55844809890058,"Bera, Pahang",2049,122325.96970768532
3.1688603457411144,102.55844809890058,"Bera, Pahang",2050,123094.68749545258
3.1688603457411144,102.55844809890058,"Bera, Pahang",2051,123896.56843411192
3.1688603457411144,102.55844809890058,"Bera, Pahang",2052,124727.46326996488
3.1688603457411144,102.55844809890058,"Bera, Pahang",2053,125490.88002787413
3.1688603457411144,102.55844809890058,"Bera, Pahang",2054,126323.40245367296
4.472426699547248,101.37786459999998,"Cameron Highlands, Pahang",2025,42369.631947472786
4.472426699547248,101.37786459999998,"Cameron Highlands, Pahang",2026,42941.77806819386
4.472426699547248,101.37786459999998,"Cameron Highlands, Pahang",2027,43128.24652119122
4.472426699547248,101.37786459999998,"Cameron Highlands, Pahang",2028,43370.40478299447
4.472426699547248,101.37786459999998,"Cameron Highlands, Pahang",2029,43642.477411443
4.472426699547248,101.37786459999998,"Cameron Highlands, Pahang",2030,43796.67756505688
4.472426699547248,101.37786459999998,"Cameron Highlands, Pahang",2031,44207.439596228694
4.472426699547248,101.37786459999998,"Cameron Highlands, Pahang",2032,44414.29753280775
4.472426699547248,101.37786459999998,"Cameron Highlands, Pahang",2033,44745.9307112401
4.472426699547248,101.37786459999998,"Cameron Highlands, Pahang",2034,45109.672497162115
4.472426699547248,101.37786459999998,"Cameron Highlands, Pahang",2035,45347.988138688284
4.472426699547248,101.37786459999998,"Cameron Highlands, Pahang",2036,45746.64814520175
4.472426699547248,101.37786459999998,"Cameron Highlands, Pahang",2037,46036.51142189144
4.472426699547248,101.37786459999998,"Cameron Highlands, Pahang",2038,46349.17473450571
4.472426699547248,101.37786459999998,"Cameron Highlands, Pahang",2039,46723.80550492589
4.472426699547248,101.37786459999998,"Cameron Highlands, Pahang",2040,46996.155675820795
4.472426699547248,101.37786459999998,"Cameron Highlands, Pahang",2041,47359.66552592085
4.472426699547248,101.37786459999998,"Cameron Highlands, Pahang",2042,47682.86694122728
4.472426699547248,101.37786459999998,"Cameron Highlands, Pahang",2043,47986.743560794195
4.472426699547248,101.37786459999998,"Cameron Highlands, Pahang",2044,48350.973812726894
4.472426699547248,101.37786459999998,"Cameron Highlands, Pahang",2045,48648.116056882565
4.472426699547248,101.37786459999998,"Cameron Highlands, Pahang",2046,48988.00087665457
4.472426699547248,101.37786459999998,"Cameron Highlands, Pahang",2047,49324.51561747607
4.472426699547248,101.37786459999998,"Cameron Highlands, Pahang",2048,49630.34793310166
4.472426699547248,101.37786459999998,"Cameron Highlands, Pahang",2049,49981.340270173125
4.472426699547248,101.37786459999998,"Cameron Highlands, Pahang",2050,50295.431753886216
4.472426699547248,101.37786459999998,"Cameron Highlands, Pahang",2051,50623.07341613564
4.472426699547248,101.37786459999998,"Cameron Highlands, Pahang",2052,50962.56990750812
4.472426699547248,101.37786459999998,"Cameron Highlands, Pahang",2053,51274.49543596454
4.472426699547248,101.37786459999998,"Cameron Highlands, Pahang",2054,51614.65694660563
4.569375399539441,102.26568229999998,"Jerantut, Pahang",2025,102039.33366322907
4.569375399539441,102.26568229999998,"Jerantut, Pahang",2026,103417.24057988008
